
0	-nan
30	2.55726
60	2.4383
90	2.37356
120	2.31761
150	2.30909
180	2.29962
210	2.28424
240	2.27374
270	2.26475
300	2.26846
330	2.2568
360	2.24917
390	2.23708
420	2.23153
450	2.22431
480	2.21915
510	2.21123
540	2.19533
570	2.18227
600	2.16884
630	2.15217
660	2.1357
690	2.11585
720	2.09726
750	2.07347
780	2.05233
810	2.02935
840	2.013
870	1.9972
900	1.97826
930	1.95888
960	1.94517
990	1.92781
1020	1.91499
1050	1.89643
1080	1.88265
1110	1.86511
1140	1.85331
1170	1.83859
1200	1.82775
1230	1.81547
1260	1.80243
1290	1.79017
1320	1.77763
1350	1.76858
1380	1.75769
1410	1.74756
1440	1.73844
1470	1.72495
1500	1.71561
