
0	-nan
30	3.17766
60	3.11386
90	3.09272
120	3.08913
150	3.082
180	3.07451
210	3.07358
240	3.06293
270	3.05323
300	3.03981
330	3.02119
360	2.99071
390	2.96387
420	2.93274
450	2.90092
480	2.8719
510	2.83934
540	2.80184
570	2.76608
600	2.72696
630	2.68491
660	2.64474
690	2.60212
720	2.56177
750	2.52178
780	2.48465
810	2.44554
840	2.40886
870	2.37434
900	2.34082
930	2.30904
960	2.27793
990	2.24918
1020	2.2214
1050	2.19379
1080	2.16559
1110	2.14169
1140	2.11728
1170	2.09353
1200	2.06921
1230	2.04554
1260	2.02423
1290	2.00322
1320	1.98242
1350	1.96154
1380	1.94147
1410	1.92195
1440	1.90257
1470	1.88477
1500	1.86656
