
0	1
30	0.56996
60	0.482699
90	0.406621
120	0.312582
150	0.291652
180	0.273586
210	0.245117
240	0.242775
270	0.215831
300	0.213676
330	0.209756
360	0.210312
390	0.178922
420	0.175813
450	0.174413
480	0.177098
510	0.173852
540	0.173144
570	0.171457
600	0.172779
630	0.170377
660	0.171012
690	0.172594
720	0.171562
750	0.174435
780	0.172462
810	0.172815
840	0.171816
870	0.172144
900	0.172612
930	0.174619
960	0.173714
990	0.172291
1020	0.171677
1050	0.173464
1080	0.173284
1110	0.173462
1140	0.172858
1170	0.174085
1200	0.174056
1230	0.173416
1260	0.174728
1290	0.175575
1320	0.173997
1350	0.174385
1380	0.175422
1410	0.175738
1440	0.174707
1470	0.17465
1500	0.176147
